"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
143,178,"PER","Peru",2,"Ancash",16,"Huaraz",143,"La Libertad","Distrito","District",NA,NA
144,178,"PER","Peru",2,"Ancash",16,"Huaraz",144,"Olleros","Distrito","District",NA,NA
145,178,"PER","Peru",2,"Ancash",16,"Huaraz",145,"Pampas","Distrito","District",NA,NA
146,178,"PER","Peru",2,"Ancash",16,"Huaraz",146,"Pariacoto","Distrito","District",NA,NA
147,178,"PER","Peru",2,"Ancash",16,"Huaraz",147,"Pira","Distrito","District",NA,NA
148,178,"PER","Peru",2,"Ancash",16,"Huaraz",148,"Tarica","Distrito","District",NA,NA
149,178,"PER","Peru",2,"Ancash",17,"Huari",149,"Anra","Distrito","District",NA,NA
150,178,"PER","Peru",2,"Ancash",17,"Huari",150,"Cajay","Distrito","District",NA,NA
151,178,"PER","Peru",2,"Ancash",17,"Huari",151,"Chavin de Huantar","Distrito","District",NA,NA
152,178,"PER","Peru",2,"Ancash",17,"Huari",152,"Huacachi","Distrito","District",NA,NA
153,178,"PER","Peru",2,"Ancash",17,"Huari",153,"Huacchis","Distrito","District",NA,NA
154,178,"PER","Peru",2,"Ancash",17,"Huari",154,"Huachis","Distrito","District",NA,NA
155,178,"PER","Peru",2,"Ancash",17,"Huari",155,"Huantar","Distrito","District",NA,NA
156,178,"PER","Peru",2,"Ancash",17,"Huari",156,"Huari","Distrito","District",NA,NA
157,178,"PER","Peru",2,"Ancash",17,"Huari",157,"Masin","Distrito","District",NA,NA
158,178,"PER","Peru",2,"Ancash",17,"Huari",158,"Paucas","Distrito","District",NA,NA
159,178,"PER","Peru",2,"Ancash",17,"Huari",159,"Ponto","Distrito","District",NA,NA
160,178,"PER","Peru",2,"Ancash",17,"Huari",160,"Rahuapampa","Distrito","District",NA,NA
161,178,"PER","Peru",2,"Ancash",17,"Huari",161,"Rapayan","Distrito","District",NA,NA
162,178,"PER","Peru",2,"Ancash",17,"Huari",162,"San Marcos","Distrito","District",NA,NA
163,178,"PER","Peru",2,"Ancash",17,"Huari",163,"San Pedro de Chana","Distrito","District",NA,NA
164,178,"PER","Peru",2,"Ancash",17,"Huari",164,"Uco","Distrito","District",NA,NA
165,178,"PER","Peru",2,"Ancash",18,"Huarmey",165,"Cochapeti","Distrito","District",NA,NA
166,178,"PER","Peru",2,"Ancash",18,"Huarmey",166,"Culebras","Distrito","District",NA,NA
167,178,"PER","Peru",2,"Ancash",18,"Huarmey",167,"Huarmey","Distrito","District",NA,NA
168,178,"PER","Peru",2,"Ancash",18,"Huarmey",168,"Huayan","Distrito","District",NA,NA
169,178,"PER","Peru",2,"Ancash",18,"Huarmey",169,"Malvas","Distrito","District",NA,NA
170,178,"PER","Peru",2,"Ancash",19,"Huaylas",170,"Caraz","Distrito","District",NA,NA
171,178,"PER","Peru",2,"Ancash",19,"Huaylas",171,"Huallanca","Distrito","District",NA,NA
172,178,"PER","Peru",2,"Ancash",19,"Huaylas",172,"Huata","Distrito","District",NA,NA
173,178,"PER","Peru",2,"Ancash",19,"Huaylas",173,"Huaylas","Distrito","District",NA,NA
174,178,"PER","Peru",2,"Ancash",19,"Huaylas",174,"Mato","Distrito","District",NA,NA
175,178,"PER","Peru",2,"Ancash",19,"Huaylas",175,"Pamparomas","Distrito","District",NA,NA
176,178,"PER","Peru",2,"Ancash",19,"Huaylas",176,"Pueblo Libre","Distrito","District",NA,NA
177,178,"PER","Peru",2,"Ancash",19,"Huaylas",177,"Santa Cruz","Distrito","District",NA,NA
178,178,"PER","Peru",2,"Ancash",19,"Huaylas",178,"Santo Toribio","Distrito","District",NA,NA
179,178,"PER","Peru",2,"Ancash",19,"Huaylas",179,"Yuracmarca","Distrito","District",NA,NA
180,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",180,"Casca","Distrito","District",NA,NA
181,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",181,"Eleazar Guzman Barron","Distrito","District",NA,NA
182,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",182,"Fidel Olivas Escudero","Distrito","District",NA,NA
183,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",183,"Llama","Distrito","District",NA,NA
184,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",184,"Llumpa","Distrito","District",NA,NA
185,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",185,"Lucma","Distrito","District",NA,NA
186,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",186,"Musga","Distrito","District",NA,NA
187,178,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga",187,"Piscobamba","Distrito","District",NA,NA
188,178,"PER","Peru",2,"Ancash",21,"Ocros",188,"Acas","Distrito","District",NA,NA
189,178,"PER","Peru",2,"Ancash",21,"Ocros",189,"Cajamarquilla","Distrito","District",NA,NA
190,178,"PER","Peru",2,"Ancash",21,"Ocros",190,"Carhuapampa","Distrito","District",NA,NA
191,178,"PER","Peru",2,"Ancash",21,"Ocros",191,"Cochas","Distrito","District",NA,NA
192,178,"PER","Peru",2,"Ancash",21,"Ocros",192,"Congas","Distrito","District",NA,NA
193,178,"PER","Peru",2,"Ancash",21,"Ocros",193,"Llipa","Distrito","District",NA,NA
194,178,"PER","Peru",2,"Ancash",21,"Ocros",194,"Ocros","Distrito","District",NA,NA
195,178,"PER","Peru",2,"Ancash",21,"Ocros",195,"San Cristobal de Rajan","Distrito","District",NA,NA
196,178,"PER","Peru",2,"Ancash",21,"Ocros",196,"San Pedro","Distrito","District",NA,NA
197,178,"PER","Peru",2,"Ancash",21,"Ocros",197,"Santiago de Chilcas","Distrito","District",NA,NA
198,178,"PER","Peru",2,"Ancash",22,"Pallasca",198,"Bolognesi","Distrito","District",NA,NA
199,178,"PER","Peru",2,"Ancash",22,"Pallasca",199,"Cabana","Distrito","District",NA,NA
200,178,"PER","Peru",2,"Ancash",22,"Pallasca",200,"Conchucos","Distrito","District",NA,NA
201,178,"PER","Peru",2,"Ancash",22,"Pallasca",201,"Huacaschuque","Distrito","District",NA,NA
202,178,"PER","Peru",2,"Ancash",22,"Pallasca",202,"Huandoval","Distrito","District",NA,NA
203,178,"PER","Peru",2,"Ancash",22,"Pallasca",203,"Lacabamba","Distrito","District",NA,NA
204,178,"PER","Peru",2,"Ancash",22,"Pallasca",204,"Llapo","Distrito","District",NA,NA
205,178,"PER","Peru",2,"Ancash",22,"Pallasca",205,"Pallasca","Distrito","District",NA,NA
206,178,"PER","Peru",2,"Ancash",22,"Pallasca",206,"Pampas","Distrito","District",NA,NA
207,178,"PER","Peru",2,"Ancash",22,"Pallasca",207,"Santa Rosa","Distrito","District",NA,NA
208,178,"PER","Peru",2,"Ancash",22,"Pallasca",208,"Tauca","Distrito","District",NA,NA
209,178,"PER","Peru",2,"Ancash",23,"Pomabamba",209,"Huayllan","Distrito","District",NA,NA
210,178,"PER","Peru",2,"Ancash",23,"Pomabamba",210,"Parobamba","Distrito","District",NA,NA
211,178,"PER","Peru",2,"Ancash",23,"Pomabamba",211,"Pomabamba","Distrito","District",NA,NA
212,178,"PER","Peru",2,"Ancash",23,"Pomabamba",212,"Quinuabamba","Distrito","District",NA,NA
213,178,"PER","Peru",2,"Ancash",24,"Recuay",213,"Catac","Distrito","District",NA,NA
214,178,"PER","Peru",2,"Ancash",24,"Recuay",214,"Cotaparaco","Distrito","District",NA,NA
215,178,"PER","Peru",2,"Ancash",24,"Recuay",215,"Huayllapampa","Distrito","District",NA,NA
216,178,"PER","Peru",2,"Ancash",24,"Recuay",216,"Llacllin","Distrito","District",NA,NA
217,178,"PER","Peru",2,"Ancash",24,"Recuay",217,"Marca","Distrito","District",NA,NA
218,178,"PER","Peru",2,"Ancash",24,"Recuay",218,"Pampas Chico","Distrito","District",NA,NA
219,178,"PER","Peru",2,"Ancash",24,"Recuay",219,"Pararin","Distrito","District",NA,NA
220,178,"PER","Peru",2,"Ancash",24,"Recuay",220,"Recuay","Distrito","District",NA,NA
221,178,"PER","Peru",2,"Ancash",24,"Recuay",221,"Tapacocha","Distrito","District",NA,NA
222,178,"PER","Peru",2,"Ancash",24,"Recuay",222,"Ticapampa","Distrito","District",NA,NA
223,178,"PER","Peru",2,"Ancash",25,"Santa",223,"Caceres del Peru","Distrito","District",NA,NA
224,178,"PER","Peru",2,"Ancash",25,"Santa",224,"Chimbote","Distrito","District",NA,NA
